no,code,name,district
165,1786,Xã Đông Khê,Tỉnh Cao Bằng
166,1822,Xã Đức Long,Tỉnh Cao Bằng
167,1648,Xã Phục Hòa,Tỉnh Cao Bằng
168,1636,Xã Bế Văn Đàn,Tỉnh Cao Bằng
169,1594,Xã Độc Lập,Tỉnh Cao Bằng
170,1576,Xã Quảng Uyên,Tỉnh Cao Bằng
171,1618,Xã Hạnh Phúc,Tỉnh Cao Bằng
172,1456,Xã Quang Hán,Tỉnh Cao Bằng
173,1447,Xã Trà Lĩnh,Tỉnh Cao Bằng
174,1465,Xã Quang Trung,Tỉnh Cao Bằng
175,1525,Xã Đoài Dương,Tỉnh Cao Bằng
176,1477,Xã Trùng Khánh,Tỉnh Cao Bằng
177,1501,Xã Đàm Thuỷ,Tỉnh Cao Bằng
178,1489,Xã Đình Phong,Tỉnh Cao Bằng
179,1558,Xã Lý Quốc,Tỉnh Cao Bằng
180,1561,Xã Hạ Lang,Tỉnh Cao Bằng
181,1537,Xã Vinh Quý,Tỉnh Cao Bằng
182,1552,Xã Quang Long,Tỉnh Cao Bằng
,,TỈNH TUYÊN QUANG,Tỉnh Tuyên Quang
183,2269,Xã Thượng Lâm,Tỉnh Tuyên Quang
184,2266,Xã Lâm Bình,Tỉnh Tuyên Quang
185,2302,Xã Minh Quang,Tỉnh Tuyên Quang
186,2296,Xã Bình An,Tỉnh Tuyên Quang
187,2245,Xã Côn Lôn,Tỉnh Tuyên Quang
188,2248,Xã Yên Hoa,Tỉnh Tuyên Quang
189,2239,Xã Thượng Nông,Tỉnh Tuyên Quang
190,2260,Xã Hồng Thái,Tỉnh Tuyên Quang
191,2221,Xã Nà Hang,Tỉnh Tuyên Quang
192,2308,Xã Tân Mỹ,Tỉnh Tuyên Quang
193,2317,Xã Yên Lập,Tỉnh Tuyên Quang
194,2320,Xã Tân An,Tỉnh Tuyên Quang
195,2287,Xã Chiêm Hoá,Tỉnh Tuyên Quang
196,2353,Xã Hoà An,Tỉnh Tuyên Quang
197,2332,Xã Kiên Đài,Tỉnh Tuyên Quang
198,2359,Xã Tri Phú,Tỉnh Tuyên Quang
199,2350,Xã Kim Bình,Tỉnh Tuyên Quang
200,2365,Xã Yên Nguyên,Tỉnh Tuyên Quang
201,2305,Xã Trung Hà,Tỉnh Tuyên Quang
202,2398,Xã Yên Phú,Tỉnh Tuyên Quang
203,2380,Xã Bạch Xa,Tỉnh Tuyên Quang
204,2392,Xã Phù Lưu,Tỉnh Tuyên Quang
205,2374,Xã Hàm Yên,Tỉnh Tuyên Quang
206,2404,Xã Bình Xa,Tỉnh Tuyên Quang
207,2407,Xã Thái Sơn,Tỉnh Tuyên Quang
208,2419,Xã Thái Hoà,Tỉnh Tuyên Quang
209,2425,Xã Hùng Đức,Tỉnh Tuyên Quang
210,2455,Xã Hùng Lợi,Tỉnh Tuyên Quang
211,2458,Xã Trung Sơn,Tỉnh Tuyên Quang
212,2494,Xã Thái Bình,Tỉnh Tuyên Quang
213,2470,Xã Tân Long,Tỉnh Tuyên Quang
214,2449,Xã Xuân Vân,Tỉnh Tuyên Quang
215,2434,Xã Lực Hành,Tỉnh Tuyên Quang
216,2473,Xã Yên Sơn,Tỉnh Tuyên Quang
217,2530,Xã Nhữ Khê,Tỉnh Tuyên Quang
218,2437,Xã Kiến Thiết,Tỉnh Tuyên Quang
219,2545,Xã Tân Trào,Tỉnh Tuyên Quang
220,2554,Xã Minh Thanh,Tỉnh Tuyên Quang
221,2536,Xã Sơn Dương,Tỉnh Tuyên Quang
222,2548,Xã Bình Ca,Tỉnh Tuyên Quang
223,2578,Xã Tân Thanh,Tỉnh Tuyên Quang
224,2620,Xã Sơn Thuỷ,Tỉnh Tuyên Quang
225,2611,Xã Phú Lương,Tỉnh Tuyên Quang
226,2623,Xã Trường Sinh,Tỉnh Tuyên Quang
227,2608,Xã Hồng Sơn,Tỉnh Tuyên Quang
228,2572,Xã Đông Thọ,Tỉnh Tuyên Quang
229,2509,Phường Mỹ Lâm,Tỉnh Tuyên Quang
230,2215,Phường Minh Xuân,Tỉnh Tuyên Quang
231,2212,Phường Nông Tiến,Tỉnh Tuyên Quang
232,2512,Phường An Tường,Tỉnh Tuyên Quang
233,2524,Phường Bình Thuận,Tỉnh Tuyên Quang
234,715,Xã Lũng Cú,Tỉnh Tuyên Quang
235,721,Xã Đồng Văn,Tỉnh Tuyên Quang
236,733,Xã Sà Phìn,Tỉnh Tuyên Quang
237,745,Xã Phố Bảng,Tỉnh Tuyên Quang
238,763,Xã Lũng Phìn,Tỉnh Tuyên Quang
239,787,Xã Sủng Máng,Tỉnh Tuyên Quang
240,778,Xã Sơn Vĩ,Tỉnh Tuyên Quang
241,769,Xã Mèo Vạc,Tỉnh Tuyên Quang
242,802,Xã Khâu Vai,Tỉnh Tuyên Quang
243,817,Xã Niêm Sơn,Tỉnh Tuyên Quang
244,808,Xã Tát Ngà,Tỉnh Tuyên Quang
245,829,Xã Thắng Mố,Tỉnh Tuyên Quang
246,832,Xã Bạch Đích,Tỉnh Tuyên Quang
247,820,Xã Yên Minh,Tỉnh Tuyên Quang
248,847,Xã Mậu Duệ,Tỉnh Tuyên Quang
249,859,Xã Ngọc Long,Tỉnh Tuyên Quang
250,871,Xã Du Già,Tỉnh Tuyên Quang
251,865,Xã Đường Thượng,Tỉnh Tuyên Quang
252,901,Xã Lùng Tám,Tỉnh Tuyên Quang
253,883,Xã Cán Tỷ,Tỉnh Tuyên Quang
254,889,Xã Nghĩa Thuận,Tỉnh Tuyên Quang
255,874,Xã Quản Bạ,Tỉnh Tuyên Quang
256,892,Xã Tùng Vài,Tỉnh Tuyên Quang
257,1006,Xã Yên Cường,Tỉnh Tuyên Quang
258,1012,Xã Đường Hồng,Tỉnh Tuyên Quang
259,991,Xã Bắc Mê,Tỉnh Tuyên Quang
260,985,Xã Giáp Trung,Tỉnh Tuyên Quang
261,982,Xã Minh Sơn,Tỉnh Tuyên Quang
262,994,Xã Minh Ngọc,Tỉnh Tuyên Quang
263,700,Xã Ngọc Đường,Tỉnh Tuyên Quang
264,694,Phường Hà Giang 1,Tỉnh Tuyên Quang
265,691,Phường Hà Giang 2,Tỉnh Tuyên Quang
266,937,Xã Lao Chải,Tỉnh Tuyên Quang
267,928,Xã Thanh Thuỷ,Tỉnh Tuyên Quang
268,919,Xã Minh Tân,Tỉnh Tuyên Quang
269,922,Xã Thuận Hoà,Tỉnh Tuyên Quang
270,925,Xã Tùng Bá,Tỉnh Tuyên Quang
271,706,Xã Phú Linh,Tỉnh Tuyên Quang
272,970,Xã Linh Hồ,Tỉnh Tuyên Quang
273,976,Xã Bạch Ngọc,Tỉnh Tuyên Quang
274,913,Xã Vị Xuyên,Tỉnh Tuyên Quang
275,967,Xã Việt Lâm,Tỉnh Tuyên Quang
276,952,Xã Cao Bồ,Tỉnh Tuyên Quang
277,958,Xã Thượng Sơn,Tỉnh Tuyên Quang
278,1171,Xã Tân Quang,Tỉnh Tuyên Quang
279,1165,Xã Đồng Tâm,Tỉnh Tuyên Quang
280,1192,Xã Liên Hiệp,Tỉnh Tuyên Quang
281,1180,Xã Bằng Hành,Tỉnh Tuyên Quang
282,1153,Xã Bắc Quang,Tỉnh Tuyên Quang
283,1201,Xã Hùng An,Tỉnh Tuyên Quang
284,1156,Xã Vĩnh Tuy,Tỉnh Tuyên Quang
285,1216,Xã Đồng Yên,Tỉnh Tuyên Quang
286,1261,Xã Tiên Yên,Tỉnh Tuyên Quang
287,1255,Xã Xuân Giang,Tỉnh Tuyên Quang
288,1246,Xã Bằng Lang,Tỉnh Tuyên Quang
289,1234,Xã Yên Thành,Tỉnh Tuyên Quang
290,1237,Xã Quang Bình,Tỉnh Tuyên Quang
291,1243,Xã Tân Trịnh,Tỉnh Tuyên Quang
292,1225,Xã Tiên Nguyên,Tỉnh Tuyên Quang
293,1090,Xã Thông Nguyên,Tỉnh Tuyên Quang
294,1084,Xã Hồ Thầu,Tỉnh Tuyên Quang
295,1075,Xã Nậm Dịch,Tỉnh Tuyên Quang
296,1051,Xã Tân Tiến,Tỉnh Tuyên Quang
297,1021,Xã Hoàng Su Phì,Tỉnh Tuyên Quang
298,1033,Xã Thàng Tín,Tỉnh Tuyên Quang
299,1024,Xã Bản Máy,Tỉnh Tuyên Quang
300,1057,Xã Pờ Ly Ngài,Tỉnh Tuyên Quang
301,1108,Xã Xín Mần,Tỉnh Tuyên Quang
302,1096,Xã Pà Vầy Sủ,Tỉnh Tuyên Quang
303,1141,Xã Nấm Dẩn,Tỉnh Tuyên Quang
304,1117,Xã Trung Thịnh,Tỉnh Tuyên Quang
305,1144,Xã Quảng Nguyên,Tỉnh Tuyên Quang
306,1147,Xã Khuôn Lùng,Tỉnh Tuyên Quang
,,TỈNH ĐIỆN BIÊN,Tỉnh Điện Biên
307,3325,Xã Mường Phăng,Tỉnh Điện Biên
308,3127,Phường Điện Biên Phủ,Tỉnh Điện Biên
309,3334,BNV-01: NQ 815/NQ-UBTVQH ngày 21/11/2019 Phường Mường Thanh,Tỉnh Điện Biên
310,3151,Phường Mường Lay,Tỉnh Điện Biên
311,3328,Xã Thanh Nưa,Tỉnh Điện Biên
312,3352,Xã Thanh An,Tỉnh Điện Biên
313,3349,BNV-01: NQ 815/NQ-UBTVQH ngày 21/11/2019 Xã Thanh Yên,Tỉnh Điện Biên
314,3356,BNV-01: NQ 815/NQ-UBTVQH ngày 21/11/2019 Xã Sam Mứn,Tỉnh Điện Biên
315,3358,BNV-01: NQ 815/NQ-UBTVQH ngày 21/11/2019 Xã Núa Ngam,Tỉnh Điện Biên
316,3368,BNV-01: NQ 815/NQ-UBTVQH ngày 21/11/2019 Xã Mường Nhà,Tỉnh Điện Biên
317,3253,BNV-01: NQ 815/NQ-UBTVQH ngày 21/11/2019 Xã Tuần Giáo,Tỉnh Điện Biên
318,3295,BNV-01: NQ 815/NQ-UBTVQH ngày 21/11/2019 Xã Quài Tở,Tỉnh Điện Biên
319,3268,Xã Mường Mùn,Tỉnh Điện Biên
320,3260,Xã Pú Nhung,Tỉnh Điện Biên
321,3283,Xã Chiềng Sinh,Tỉnh Điện Biên
322,3217,Xã Tủa Chùa,Tỉnh Điện Biên
323,3226,Xã Sín Chải,Tỉnh Điện Biên
324,3241,Xã Sính Phình,Tỉnh Điện Biên
325,3220,Xã Tủa Thàng,Tỉnh Điện Biên
326,3244,Xã Sáng Nhè,Tỉnh Điện Biên
327,3172,Xã Na Sang,Tỉnh Điện Biên
328,3181,Xã Mường Tùng,Tỉnh Điện Biên
329,3193,Xã Pa Ham,Tỉnh Điện Biên
330,3194,Xã Nậm Nèn,Tỉnh Điện Biên
331,3202,Xã Mường Pồn,Tỉnh Điện Biên
332,3203,Xã Na Son,Tỉnh Điện Biên
333,3208,Xã Xa Dung,Tỉnh Điện Biên
334,3370,Xã Pu Nhi,Tỉnh Điện Biên
335,3214,Xã Mường Luân,Tỉnh Điện Biên
336,3385,Xã Tìa Dình,Tỉnh Điện Biên
337,3382,Xã Phình Giàng,Tỉnh Điện Biên
338,3166,Xã Mường Chà,Tỉnh Điện Biên
339,3169,Xã Nà Hỳ,Tỉnh Điện Biên
340,3176,Xã Nà Bủng,Tỉnh Điện Biên
341,3175,Xã Chà Tở,Tỉnh Điện Biên
342,3199,Xã Si Pa Phìn,Tỉnh Điện Biên
343,3160,Xã Mường Nhé,Tỉnh Điện Biên
344,3158,Xã Sín Thầu,Tỉnh Điện Biên
345,3163,BNV-01: NQ 815/NQ-UBTVQH ngày 21/11/2019 Xã Mường Toong,Tỉnh Điện Biên
346,3162,Xã Nậm Kè,Tỉnh Điện Biên
347,3164,Xã Quảng Lâm,Tỉnh Điện Biên
348,3256,BNV-01: NQ 815/NQ-UBTVQH ngày 21/11/2019 Xã Mường Ảng,Tỉnh Điện Biên
349,3316,Xã Nà Tấu,Tỉnh Điện Biên
350,3301,Xã Búng Lao,Tỉnh Điện Biên
351,3313,Xã Mường Lạn,Tỉnh Điện Biên
,,TỈNH LAI CHÂU,Tỉnh Lai Châu
352,3637,Xã Mường Kim,Tỉnh Lai Châu
353,3640,Xã Khoen On,Tỉnh Lai Châu
354,3595,Xã Than Uyên,Tỉnh Lai Châu
355,3618,Xã Mường Than,Tỉnh Lai Châu
356,3616,Xã Pắc Ta,Tỉnh Lai Châu
357,3613,Xã Nậm Sỏ,Tỉnh Lai Châu
358,3598,Nguyen: NQ/NQ-UBTVQH14 ngày 10/1/2020 Xã Tân Uyên,Tỉnh Lai Châu
359,3601,Xã Mường Khoa,Tỉnh Lai Châu
360,3424,Xã Bản Bo,Tỉnh Lai Châu
361,3390,Xã Bình Lư,Tỉnh Lai Châu
362,3405,Xã Tả Lèng,Tỉnh Lai Châu
363,3430,Xã Khun Há,Tỉnh Lai Châu
364,3408,Phường Tân Phong,Tỉnh Lai Châu
365,3388,Phường Đoàn Kết,Tỉnh Lai Châu
366,3394,Xã Sin Suối Hồ,Tỉnh Lai Châu
367,3549,Xã Phong Thổ,Tỉnh Lai Châu
368,3562,Xã Sì Lở Lầu,Tỉnh Lai Châu
369,3571,Xã Dào San,Tỉnh Lai Châu
370,3583,Xã Khổng Lào,Tỉnh Lai Châu
371,3529,Xã Tủa Sín Chải,Tỉnh Lai Châu
372,3478,Xã Sìn Hồ,Tỉnh Lai Châu
373,3508,Xã Hồng Thu,Tỉnh Lai Châu
374,3517,Xã Nậm Tăm,Tỉnh Lai Châu
375,3532,Xã Pu Sam Cáp,Tỉnh Lai Châu
376,3544,Xã Nậm Cuổi,Tỉnh Lai Châu
377,3538,Xã Nậm Mạ,Tỉnh Lai Châu
378,3487,Xã Lê Lợi,Tỉnh Lai Châu
379,3434,Xã Nậm Hàng,Tỉnh Lai Châu
380,3472,Xã Mường Mô,Tỉnh Lai Châu
381,3460,Xã Hua Bum,Tỉnh Lai Châu
382,3503,Xã Pa Tần,Tỉnh Lai Châu
383,3466,Xã Bum Nưa,Tỉnh Lai Châu
384,3433,Xã Bum Tở,Tỉnh Lai Châu
385,3445,Xã Mường Tè,Tỉnh Lai Châu
386,3439,Xã Thu Lũm,Tỉnh Lai Châu
387,3442,Xã Pa Ủ,Tỉnh Lai Châu
388,3463,Xã Tà Tổng,Tỉnh Lai Châu
389,3451,Xã Mù Cả,Tỉnh Lai Châu
,,TỈNH SƠN LA,Tỉnh Sơn La
390,3646,Phường Tô Hiệu,Tỉnh Sơn La
391,3667,Phường Chiềng An,Tỉnh Sơn La
392,3670,Phường Chiềng Cơi,Tỉnh Sơn La
393,3679,Phường Chiềng Sinh,Tỉnh Sơn La
394,3980,Phường Mộc Châu,Tỉnh Sơn La
395,3979,Phường Mộc Sơn,Tỉnh Sơn La
396,4033,Phường Vân Sơn,Tỉnh Sơn La
397,3982,Phường Thảo Nguyên,Tỉnh Sơn La
398,4000,Xã Đoàn Kết,Tỉnh Sơn La
399,4045,Xã Lóng Sập,Tỉnh Sơn La
400,3985,Xã Chiềng Sơn,Tỉnh Sơn La
401,4048,Xã Vân Hồ,Tỉnh Sơn La
402,4006,Xã Song Khủa,Tỉnh Sơn La
403,4018,Xã Tô Múa,Tỉnh Sơn La
404,4057,Xã Xuân Nha,Tỉnh Sơn La
405,3703,Xã Quỳnh Nhai,Tỉnh Sơn La
406,3688,Xã Mường Chiên,Tỉnh Sơn La
407,3694,Xã Mường Giôn,Tỉnh Sơn La
408,3712,Xã Mường Sại,Tỉnh Sơn La
409,3721,Xã Thuận Châu,Tỉnh Sơn La
410,3754,Xã Chiềng La,Tỉnh Sơn La
411,3784,Xã Nậm Lầu,Tỉnh Sơn La
412,3799,Xã Muổi Nọi,Tỉnh Sơn La
413,3757,Xã Mường Khiêng,Tỉnh Sơn La
414,3781,Xã Co Mạ,Tỉnh Sơn La
415,3724,Xã Bình Thuận,Tỉnh Sơn La
416,3727,Xã Mường É,Tỉnh Sơn La
417,3763,Xã Long Hẹ,Tỉnh Sơn La
418,3808,Xã Mường La,Tỉnh Sơn La
419,3814,Xã Chiềng Lao,Tỉnh Sơn La
420,3847,Xã Mường Bú,Tỉnh Sơn La
421,3850,Xã Chiềng Hoa,Tỉnh Sơn La
422,3856,Xã Bắc Yên,Tỉnh Sơn La
423,3868,Xã Tà Xùa,Tỉnh Sơn La
424,3880,Xã Tạ Khoa,Tỉnh Sơn La
425,3862,Xã Xím Vàng,Tỉnh Sơn La
426,3871,Xã Pắc Ngà,Tỉnh Sơn La
427,3892,Xã Chiềng Sại,Tỉnh Sơn La
428,3910,Xã Phù Yên,Tỉnh Sơn La
429,3922,Xã Gia Phù,Tỉnh Sơn La
430,3958,Xã Tường Hạ,Tỉnh Sơn La
431,3907,Xã Mường Cơi,Tỉnh Sơn La
432,3943,Xã Mường Bang,Tỉnh Sơn La
433,3970,Xã Tân Phong,Tỉnh Sơn La
434,3961,Xã Kim Bon,Tỉnh Sơn La
435,4075,Xã Yên Châu,Tỉnh Sơn La
436,4078,Xã Chiềng Hặc,Tỉnh Sơn La
437,4096,Xã Lóng Phiêng,Tỉnh Sơn La
438,4087,Xã Yên Sơn,Tỉnh Sơn La
439,4132,Xã Chiềng Mai,Tỉnh Sơn La
440,4105,Xã Mai Sơn,Tỉnh Sơn La
441,4159,Xã Phiêng Pằn,Tỉnh Sơn La
442,4123,Xã Chiềng Mung,Tỉnh Sơn La
443,4144,Xã Phiêng Cằm,Tỉnh Sơn La
444,4117,Xã Mường Chanh,Tỉnh Sơn La
445,4136,Xã Tà Hộc,Tỉnh Sơn La
446,4108,Xã Chiềng Sung,Tỉnh Sơn La
447,4171,Xã Bó Sinh,Tỉnh Sơn La
448,4222,Xã Chiềng Khương,Tỉnh Sơn La
449,4219,Xã Mường Hung,Tỉnh Sơn La
450,4204,Xã Chiềng Khoong,Tỉnh Sơn La
451,4183,Xã Mường Lầm,Tỉnh Sơn La
452,4186,Xã Nậm Ty,Tỉnh Sơn La
453,4168,Xã Sông Mã,Tỉnh Sơn La
454,4210,Xã Huổi Một,Tỉnh Sơn La
455,4195,Xã Chiềng Sơ,Tỉnh Sơn La
456,4231,Xã Sốp Cộp,Tỉnh Sơn La
457,4228,Xã Púng Bánh,Tỉnh Sơn La
458,3997,Xã Tân Yên,Tỉnh Sơn La
459,3760,Xã Mường Bám,Tỉnh Sơn La
460,3820,Xã Ngọc Chiến,Tỉnh Sơn La
461,3901,Xã Suối Tọ,Tỉnh Sơn La
